date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:30	8693/8693	---M--	200	added ('OK')	application/pdf	etag:%22df2982b9eb9b5c60b6332a79faaab1a7%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/chemical_bond_definition_assign..pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/chemical_bond_definition_assign..pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:30	42337/42337	---M--	200	added ('OK')	application/pdf	etag:%22f3b0187faef77fc1cd60d827b1c61fe1%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/chem11_blm_06_5.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/chem11_blm_06_5.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:30	5795328/5795328	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%22cb8d0a66bc3bc14a20163e28e93a0b35%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/periodic_tabl.ppt	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/periodic_tabl.ppt	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:30	16895/16895	---M--	200	added ('OK')	application/pdf	etag:%2238fa8d702029d04e0e013c6e39706ae0%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/mole_calculations-1.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/mole_calculations-1.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:31	37937/37937	---M--	200	added ('OK')	application/pdf	etag:%22ce4d57e8915f4a8caac6c601afe4a3b9%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/chem11_blm_06_9.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/chem11_blm_06_9.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:31	132271/132271	---M--	200	added ('OK')	application/pdf	etag:%22c38ee55c99277e80ab8a8906ee032318%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/mole_calculations-2.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/mole_calculations-2.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:32	356318/356318	---M--	200	added ('OK')	application/pdf	etag:%2282c1031e5b1047e4cd49e1d51106eaf9%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/stoichiometry1.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/stoichiometry1.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:32	10914/10914	---M--	200	added ('OK')	application/pdf	etag:%220d0dbc312b9ef2a3aa236cea9dab736e%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/stoichiometric_calculations.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/stoichiometric_calculations.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:32	7714/7714	---M--	200	added ('OK')	application/pdf	etag:%22e3705eb81f2bad248ae5497487a81e55%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/limiting___excess_reagent.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/limiting___excess_reagent.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:32	27626/27626	---M--	200	added ('OK')	application/pdf	etag:%22c1f5b0db615bad916ad31409b45bf95a%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/chemical_calculations.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/chemical_calculations.pdf	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:33	189952/189952	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%22aeeb6f2055c514c066b643172f8e01be%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/soluble_slightly_soluble_or_insoluble.ppt	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/soluble_slightly_soluble_or_insoluble.ppt	(from https://istikbalturut.weebly.com/sch3u.html)
14:09:33	161588/161588	---M--	200	added ('OK')	application/pdf	etag:%229b7290324b015368bb6c6f2389833b1b%22	https://istikbalturut.weebly.com/uploads/1/1/3/6/113624803/sch4u_syllabus.pdf	C:/My%20Web%20Sites/myprofile/istikbalturut.weebly.com/uploads/1/1/3/6/113624803/sch4u_syllabus.pdf	(from https://istikbalturut.weebly.com/sch4u.html)
